== PHASE 6A — FACTOR SWEEP (borrowed alpha library, our statistics) ==
statistic mean 20d rank IC with Newey-West t (lag = horizon) — Phase 4's Gate-1 statistic, unchanged
reported  5d / 20d / 60d — 5d and 60d may not override the 20d decision
FDR       Benjamini-Hochberg q=0.05, normal-approximation p from the NW t (disclosed)
promotion top 20 US alphas by mean IC, pre-registered, no post-hoc addition

--- US ---
panel      us-2021-09-20_2026-09-17-1254s-555n-689572b-fwd-b1e4fbeabb44
window     2022-09-19 … 2026-09-17 (1003 sessions)
breadth    U1 547.7/day · U2 180.2/day  (U1 is primary; U2 reported)
statistic  mean 20d rank IC · NW t (lag 20) · 982 days on the first row · alphas 436 evaluated, 0 skipped
floors     power floor 0.0297 (t=2 at the lane's realized NW SE 0.01486) · FDR q=0.05 over K=436
luck       E[max|IC|] ≈ 0.0518 at the lane SE 0.01486 · 0.0358 at the sweep's own mean SE 0.01028 — K assumed independent, so this is CONSERVATIVE
labels     alive 0 · reversed 0 · dead 436   (FDR discoveries 0)

  alpha                      univ   meanIC     NWt    ICIR  days  brdth         p       FDR label    
  alpha101_029               U2     0.0096    1.30    0.06   983  180.8    1.9e-1    0.7816 dead     
  qlib158_klow               U2     0.0095    1.09    0.06   983  180.8    2.7e-1    0.7816 dead     
  qlib158_qtlu5              U2     0.0095    0.99    0.05   983  180.8    3.2e-1    0.7947 dead     
  qlib158_imxd30             U2     0.0095    0.77    0.07   983  180.8    4.4e-1    0.8678 dead     
  alpha101_046               U1     0.0094    1.28    0.08   983  547.6    2.0e-1    0.9821 dead     
  qlib158_sump20             U1     0.0092    0.65    0.06   983  547.6    5.2e-1    0.9821 dead     
  qlib158_sumd20             U1     0.0092    0.65    0.06   983  547.6    5.2e-1    0.9821 dead     
  qlib158_beta30             U1     0.0087    0.50    0.05   983  547.6    6.2e-1    0.9821 dead     
  qlib158_roc30              U1     0.0087    0.50    0.05   983  547.6    6.2e-1    0.9821 dead     
  qlib158_sumd20             U2     0.0087    0.65    0.05   983  180.8    5.2e-1    0.8998 dead     
  qlib158_sump20             U2     0.0087    0.65    0.05   983  180.8    5.2e-1    0.8998 dead     
  qlib158_max30              U1     0.0085    0.52    0.05   983  547.6    6.0e-1    0.9821 dead     
  qlib158_vsumn60            U2     0.0085    1.37    0.08   983  180.8    1.7e-1    0.7816 dead     
  alpha101_043               U1     0.0084    1.54    0.07   983  547.6    1.2e-1    0.9821 dead     
  qlib158_qtlu20             U2     0.0083    0.63    0.05   983  180.8    5.3e-1    0.9094 dead     
  alpha101_040               U2     0.0082    1.01    0.07   983  180.8    3.1e-1    0.7947 dead     
  qlib158_wvma10             U1     0.0080    1.31    0.10   983  547.6    1.9e-1    0.9821 dead     
  qlib158_vstd60             U2     0.0078    0.77    0.07   983  180.8    4.4e-1    0.8678 dead     
  qlib158_vsumn20            U2     0.0078    1.44    0.07   983  180.8    1.5e-1    0.7816 dead     
  qlib158_rsv30              U1     0.0077    0.57    0.05   983  547.6    5.7e-1    0.9821 dead     
  qlib158_rsqr30             U1     0.0077    0.80    0.08   983  547.6    4.3e-1    0.9821 dead     
  qlib158_imxd30             U1     0.0076    0.51    0.05   983  547.6    6.1e-1    0.9821 dead     
  qlib158_kup                U1     0.0074    0.83    0.06   983  547.6    4.1e-1    0.9821 dead     
  alpha101_034               U1     0.0073    2.25    0.06   983  547.6    2.4e-2    0.9821 dead     
  alpha101_051               U1     0.0072    1.23    0.06   983  547.6    2.2e-1    0.9821 dead     
  alpha101_049               U1     0.0070    1.16    0.06   983  547.6    2.4e-1    0.9821 dead     
  alpha101_007               U2     0.0069    1.47    0.06   981  180.9    1.4e-1    0.7816 dead     
  qlib158_rsqr60             U1     0.0068    0.55    0.06   983  547.6    5.8e-1    0.9821 dead     
  qlib158_vma30              U2     0.0068    1.13    0.06   983  180.8    2.6e-1    0.7816 dead     
  academic_cma               U1     0.0068    0.84    0.09   983  547.6    4.0e-1    0.9821 dead     
  qlib158_qtlu60             U1     0.0067    0.37    0.04   983  547.6    7.1e-1    0.9821 dead     
  qlib158_imax30             U1     0.0067    0.49    0.05   983  547.6    6.3e-1    0.9821 dead     
  alpha101_034               U2     0.0067    1.52    0.04   983  180.8    1.3e-1    0.7816 dead     
  alpha101_009               U1     0.0067    2.17    0.05   983  547.6    3.0e-2    0.9821 dead     
  alpha101_055               U2     0.0065    1.20    0.06   983  180.3    2.3e-1    0.7816 dead     
  qlib158_cntd30             U1     0.0065    0.46    0.05   983  547.6    6.4e-1    0.9821 dead     
  qlib158_cntp30             U1     0.0065    0.47    0.05   983  547.6    6.4e-1    0.9821 dead     
  alpha101_051               U2     0.0064    0.86    0.04   983  180.8    3.9e-1    0.8292 dead     
  qlib158_vsumn30            U2     0.0064    1.06    0.06   983  180.8    2.9e-1    0.7824 dead     
  qlib158_ma5                U1     0.0064    0.75    0.04   983  547.6    4.5e-1    0.9821 dead     
  qlib158_imxd20             U2     0.0063    0.51    0.04   983  180.8    6.1e-1    0.9542 dead     
  alpha101_046               U2     0.0062    0.76    0.04   982  180.9    4.5e-1    0.8678 dead     
  alpha101_007               U1     0.0062    1.38    0.08   982  547.6    1.7e-1    0.9821 dead     
  alpha101_009               U2     0.0062    1.54    0.04   983  180.8    1.2e-1    0.7816 dead     
  qlib158_qtlu20             U1     0.0061    0.47    0.04   983  547.6    6.4e-1    0.9821 dead     
  alpha101_052               U1     0.0061    0.69    0.05   983  547.6    4.9e-1    0.9821 dead     
  qlib158_rsqr10             U2     0.0061    0.65    0.04   983  180.8    5.1e-1    0.8998 dead     
  qlib158_resi30             U1     0.0060    0.40    0.04   983  547.6    6.9e-1    0.9821 dead     
  alpha101_049               U2     0.0059    0.78    0.04   983  180.8    4.4e-1    0.8678 dead     
  alpha101_033               U2     0.0059    1.01    0.03   983  180.8    3.1e-1    0.7947 dead     
  alpha101_038               U2     0.0059    0.69    0.03   983  180.8    4.9e-1    0.8998 dead     
  qlib158_cntd20             U1     0.0058    0.48    0.05   983  547.6    6.3e-1    0.9821 dead     
  qlib158_wvma60             U2     0.0058    0.37    0.04   983  180.8    7.1e-1    0.9727 dead     
  academic_mkt_rf            U1     0.0058    0.37    0.03   983  547.6    7.1e-1    0.9821 dead     
  alpha101_038               U1     0.0058    0.88    0.04   983  547.6    3.8e-1    0.9821 dead     
  qlib158_cntp20             U1     0.0057    0.48    0.05   983  547.6    6.3e-1    0.9821 dead     
  qlib158_resi20             U2     0.0056    0.38    0.03   983  180.8    7.1e-1    0.9727 dead     
  qlib158_roc20              U1     0.0056    0.36    0.03   983  547.6    7.2e-1    0.9821 dead     
  qlib158_beta20             U1     0.0056    0.36    0.03   983  547.6    7.2e-1    0.9821 dead     
  alpha101_023               U2     0.0055    0.82    0.03   983  180.8    4.1e-1    0.8560 dead     
  qlib158_vsumd10            U1     0.0052    1.41    0.07   983  547.6    1.6e-1    0.9821 dead     
  qlib158_vsump10            U1     0.0052    1.41    0.07   983  547.6    1.6e-1    0.9821 dead     
  alpha101_030               U1     0.0052    1.03    0.05   983  547.6    3.0e-1    0.9821 dead     
  alpha101_018               U2     0.0051    0.64    0.03   983  180.8    5.2e-1    0.8998 dead     
  alpha101_021               U1     0.0049    1.02    0.05   983  547.6    3.1e-1    0.9821 dead     
  qlib158_vstd5              U2     0.0049    0.95    0.05   983  180.8    3.4e-1    0.8135 dead     
  qlib158_rsv30              U2     0.0049    0.41    0.03   983  180.8    6.9e-1    0.9727 dead     
  qlib158_imxd20             U1     0.0048    0.38    0.04   983  547.6    7.1e-1    0.9821 dead     
  alpha101_010               U1     0.0048    1.93    0.04   983  547.6    5.3e-2    0.9821 dead     
  qlib158_rsqr20             U1     0.0047    0.54    0.05   983  547.6    5.9e-1    0.9821 dead     
  qlib158_ma5                U2     0.0046    0.42    0.02   983  180.8    6.7e-1    0.9727 dead     
  qlib158_vsump5             U2     0.0046    1.20    0.04   983  180.8    2.3e-1    0.7816 dead     
  qlib158_vsumd5             U2     0.0046    1.20    0.04   983  180.8    2.3e-1    0.7816 dead     
  alpha101_033               U1     0.0046    1.07    0.03   983  547.6    2.9e-1    0.9821 dead     
  alpha101_054               U2     0.0045    0.88    0.03   983  180.8    3.8e-1    0.8282 dead     
  qlib158_ma10               U1     0.0043    0.38    0.03   983  547.6    7.0e-1    0.9821 dead     
  qlib158_rank30             U1     0.0042    0.34    0.03   983  547.6    7.3e-1    0.9821 dead     
  alpha101_021               U2     0.0042    0.79    0.03   979  181.3    4.3e-1    0.8678 dead     
  qlib158_vsumd5             U1     0.0042    1.52    0.06   983  547.6    1.3e-1    0.9821 dead     
  qlib158_vsump5             U1     0.0042    1.52    0.06   983  547.6    1.3e-1    0.9821 dead     
  qlib158_imax20             U1     0.0041    0.35    0.03   983  547.6    7.3e-1    0.9821 dead     
  alpha101_001               U2     0.0040    0.53    0.03   983  180.8    6.0e-1    0.9542 dead     
  qlib158_vstd5              U1     0.0039    1.15    0.06   983  547.6    2.5e-1    0.9821 dead     
  alpha101_052               U2     0.0039    0.40    0.02   983  180.8    6.9e-1    0.9727 dead     
  qlib158_rsqr10             U1     0.0038    0.64    0.04   983  547.6    5.2e-1    0.9821 dead     
  alpha101_085               U1     0.0037    0.45    0.04   983  537.7    6.5e-1    0.9821 dead     
  academic_smb               U2     0.0036    0.24    0.02   983  180.8    8.1e-1    0.9736 dead     
  alpha101_014               U2     0.0035    0.47    0.03   983  180.8    6.4e-1    0.9542 dead     
  qlib158_cord30             U1     0.0034    0.34    0.03   983  547.6    7.4e-1    0.9821 dead     
  alpha101_013               U2     0.0034    0.67    0.03   983  180.8    5.0e-1    0.8998 dead     
  qlib158_cntn5              U1     0.0034    0.52    0.03   983  547.6    6.0e-1    0.9821 dead     
  qlib158_cntd60             U2     0.0033    0.26    0.03   983  180.8    8.0e-1    0.9736 dead     
  alpha101_068               U1     0.0033    1.27    0.04   983  547.6    2.0e-1    0.9821 dead     
  qlib158_rsqr5              U1     0.0033    0.85    0.03   983  547.6    3.9e-1    0.9821 dead     
  qlib158_vsumd10            U2     0.0033    0.64    0.03   983  180.8    5.2e-1    0.8998 dead     
  qlib158_vsump10            U2     0.0033    0.64    0.03   983  180.8    5.2e-1    0.8998 dead     
  alpha101_004               U1     0.0031    0.35    0.02   983  547.6    7.2e-1    0.9821 dead     
  qlib158_sumn5              U2     0.0031    0.28    0.02   983  180.8    7.8e-1    0.9736 dead     
  alpha101_053               U2     0.0031    0.70    0.02   983  179.3    4.9e-1    0.8998 dead     
  alpha101_092               U1     0.0030    0.66    0.04   983  547.6    5.1e-1    0.9821 dead     
  qlib158_rsv20              U1     0.0030    0.25    0.02   983  547.6    8.0e-1    0.9881 dead     
  alpha101_019               U1     0.0029    0.34    0.02   983  547.6    7.4e-1    0.9821 dead     
  alpha101_040               U1     0.0029    0.38    0.03   983  547.6    7.0e-1    0.9821 dead     
  qlib158_sumn5              U1     0.0028    0.33    0.02   983  547.6    7.4e-1    0.9821 dead     
  qlib158_imin10             U1     0.0027    0.32    0.02   983  547.6    7.5e-1    0.9821 dead     
  qlib158_cntp60             U2     0.0027    0.21    0.02   983  180.8    8.3e-1    0.9736 dead     
  alpha101_006               U2     0.0026    0.33    0.02   983  180.8    7.4e-1    0.9736 dead     
  alpha101_095               U1     0.0026    0.48    0.04   983  547.6    6.3e-1    0.9821 dead     
  qlib158_cord20             U1     0.0026    0.29    0.03   983  547.6    7.7e-1    0.9881 dead     
  qlib158_beta10             U2     0.0026    0.19    0.01   983  180.8    8.5e-1    0.9736 dead     
  qlib158_roc10              U2     0.0026    0.19    0.01   983  180.8    8.5e-1    0.9736 dead     
  alpha101_068               U2     0.0026    0.52    0.02   983  180.8    6.0e-1    0.9542 dead     
  alpha101_053               U1     0.0025    0.81    0.02   983  543.0    4.2e-1    0.9821 dead     
  qlib158_cntp10             U2     0.0025    0.23    0.02   983  180.8    8.2e-1    0.9736 dead     
  qlib158_cntd10             U2     0.0024    0.22    0.02   983  180.8    8.2e-1    0.9736 dead     
  alpha101_035               U1     0.0024    0.32    0.02   983  547.6    7.5e-1    0.9821 dead     
  alpha101_012               U2     0.0024    0.62    0.02   983  180.8    5.4e-1    0.9112 dead     
  qlib158_klow2              U2     0.0023    0.50    0.02   983  180.8    6.1e-1    0.9542 dead     
  qlib158_imin5              U1     0.0022    0.36    0.02   983  547.6    7.2e-1    0.9821 dead     
  qlib158_vma20              U2     0.0022    0.39    0.02   983  180.8    7.0e-1    0.9727 dead     
  qlib158_ma10               U2     0.0021    0.15    0.01   983  180.8    8.8e-1    0.9736 dead     
  qlib158_imax30             U2     0.0020    0.17    0.01   983  180.8    8.6e-1    0.9736 dead     
  alpha101_010               U2     0.0020    0.59    0.01   983  180.8    5.5e-1    0.9208 dead     
  qlib158_vstd60             U1     0.0019    0.24    0.02   983  547.6    8.1e-1    0.9881 dead     
  alpha101_054               U1     0.0019    0.55    0.02   983  547.6    5.8e-1    0.9821 dead     
  alpha101_023               U1     0.0019    0.45    0.02   983  547.6    6.5e-1    0.9821 dead     
  qlib158_cord20             U2     0.0019    0.16    0.01   983  180.8    8.7e-1    0.9736 dead     
  alpha101_018               U1     0.0018    0.34    0.01   983  547.6    7.4e-1    0.9821 dead     
  alpha101_019               U2     0.0017    0.15    0.01   983  180.8    8.8e-1    0.9736 dead     
  qlib158_cntn10             U1     0.0017    0.18    0.01   983  547.6    8.6e-1    0.9881 dead     
  qlib158_qtlu30             U1     0.0015    0.10    0.01   983  547.6    9.2e-1    0.9954 dead     
  qlib158_sumn10             U2     0.0015    0.12    0.01   983  180.8    9.1e-1    0.9736 dead     
  qlib158_resi20             U1     0.0014    0.10    0.01   983  547.6    9.2e-1    0.9954 dead     
  alpha101_012               U1     0.0014    0.47    0.02   983  547.6    6.4e-1    0.9821 dead     
  qlib158_qtlu30             U2     0.0013    0.10    0.01   983  180.8    9.2e-1    0.9779 dead     
  alpha101_045               U1     0.0013    0.55    0.02   983  545.2    5.8e-1    0.9821 dead     
  qlib158_ma60               U1     0.0012    0.07    0.01   983  547.6    9.5e-1    0.9954 dead     
  qlib158_cntn5              U2     0.0012    0.13    0.01   983  180.8    9.0e-1    0.9736 dead     
  qlib158_cord5              U2     0.0011    0.14    0.01   983  180.8    8.9e-1    0.9736 dead     
  qlib158_klow2              U1     0.0011    0.35    0.01   983  547.6    7.3e-1    0.9821 dead     
  qlib158_vsumd20            U1     0.0011    0.23    0.01   983  547.6    8.2e-1    0.9881 dead     
  qlib158_vsump20            U1     0.0011    0.23    0.01   983  547.6    8.2e-1    0.9881 dead     
  qlib158_wvma60             U1     0.0010    0.09    0.01   983  547.6    9.3e-1    0.9954 dead     
  qlib158_rank20             U1     0.0010    0.09    0.01   983  547.6    9.3e-1    0.9954 dead     
  alpha101_095               U2     0.0010    0.13    0.01   983  180.8    9.0e-1    0.9736 dead     
  qlib158_cord10             U2     0.0009    0.08    0.01   983  180.8    9.3e-1    0.9823 dead     
  qlib158_vsumn30            U1     0.0008    0.16    0.01   983  547.6    8.7e-1    0.9881 dead     
  alpha101_035               U2     0.0008    0.09    0.00   983  180.8    9.3e-1    0.9823 dead     
  qlib158_vma5               U2     0.0006    0.18    0.01   983  180.8    8.5e-1    0.9736 dead     
  qlib158_rsv20              U2     0.0006    0.05    0.00   983  180.8    9.6e-1    0.9962 dead     
  qlib158_qtld5              U2     0.0004    0.03    0.00   983  180.8    9.7e-1    0.9962 dead     
  qlib158_vsump60            U1     0.0002    0.03    0.00   983  547.6    9.7e-1    0.9964 dead     
  qlib158_vsumd60            U1     0.0002    0.03    0.00   983  547.6    9.7e-1    0.9964 dead     
  alpha101_092               U2     0.0001    0.02    0.00   983  180.8    9.8e-1    0.9962 dead     
  qlib158_kup2               U2     0.0001    0.03    0.00   983  180.8    9.7e-1    0.9962 dead     
  qlib158_rank30             U2     0.0001    0.01    0.00   983  180.8    9.9e-1    0.9995 dead     
  qlib158_sumn10             U1     0.0001    0.01    0.00   983  547.6    9.9e-1    0.9978 dead     
  qlib158_vstd30             U2     0.0000    0.00    0.00   983  180.8    1.0e+0    0.9995 dead     
  alpha101_028               U1     0.0000    0.01    0.00   983  547.6    1.0e+0    0.9978 dead     
  alpha101_060               U2    -0.0000   -0.00   -0.00   983  180.8    1.0e+0    0.9995 dead     
  qlib158_corr10             U1    -0.0000   -0.00   -0.00   983  547.6    1.0e+0    0.9978 dead     
  alpha101_045               U2    -0.0001   -0.02   -0.00   983  180.1    9.8e-1    0.9962 dead     
  qlib158_sumd10             U1    -0.0001   -0.01   -0.00   983  547.6    9.9e-1    0.9978 dead     
  qlib158_sump10             U1    -0.0001   -0.01   -0.00   983  547.6    9.9e-1    0.9978 dead     
  alpha101_022               U1    -0.0001   -0.05   -0.00   983  547.6    9.6e-1    0.9964 dead     
  qlib158_vsumn60            U1    -0.0002   -0.03   -0.00   983  547.6    9.7e-1    0.9964 dead     
  alpha101_044               U1    -0.0002   -0.06   -0.00   983  545.6    9.5e-1    0.9954 dead     
  alpha101_016               U1    -0.0003   -0.07   -0.00   983  547.6    9.4e-1    0.9954 dead     
  academic_retskew           U2    -0.0005   -0.04   -0.00   983  180.8    9.7e-1    0.9962 dead     
  qlib158_wvma20             U1    -0.0005   -0.06   -0.01   983  547.6    9.5e-1    0.9954 dead     
  alpha101_055               U1    -0.0005   -0.14   -0.01   983  545.9    8.8e-1    0.9891 dead     
  qlib158_ksft2              U1    -0.0006   -0.15   -0.00   983  547.6    8.8e-1    0.9891 dead     
  qlib158_ksft               U1    -0.0006   -0.13   -0.00   983  547.6    9.0e-1    0.9954 dead     
  qlib158_wvma20             U2    -0.0007   -0.06   -0.01   983  180.8    9.5e-1    0.9899 dead     
  alpha101_020               U1    -0.0007   -0.16   -0.01   983  547.6    8.7e-1    0.9881 dead     
  qlib158_vsump30            U1    -0.0008   -0.16   -0.01   983  547.6    8.7e-1    0.9881 dead     
  qlib158_vsumd30            U1    -0.0008   -0.16   -0.01   983  547.6    8.7e-1    0.9881 dead     
  qlib158_qtlu60             U2    -0.0009   -0.06   -0.01   983  180.8    9.5e-1    0.9899 dead     
  qlib158_corr5              U1    -0.0009   -0.15   -0.01   983  547.6    8.8e-1    0.9891 dead     
  qlib158_qtld5              U1    -0.0009   -0.10   -0.01   983  547.6    9.2e-1    0.9954 dead     
  alpha101_022               U2    -0.0009   -0.20   -0.01   983  180.8    8.4e-1    0.9736 dead     
  qlib158_cord10             U1    -0.0009   -0.11   -0.01   983  547.6    9.1e-1    0.9954 dead     
  alpha101_017               U2    -0.0010   -0.17   -0.01   983  180.8    8.7e-1    0.9736 dead     
  alpha101_002               U1    -0.0010   -0.25   -0.02   983  547.6    8.0e-1    0.9881 dead     
  qlib158_vsumn20            U1    -0.0011   -0.23   -0.01   983  547.6    8.2e-1    0.9881 dead     
  qlib158_resi60             U1    -0.0012   -0.07   -0.01   983  547.6    9.5e-1    0.9954 dead     
  alpha101_026               U1    -0.0012   -0.19   -0.01   983  499.8    8.5e-1    0.9881 dead     
  alpha101_002               U2    -0.0012   -0.18   -0.01   983  180.8    8.5e-1    0.9736 dead     
  qlib158_rank60             U1    -0.0012   -0.08   -0.01   983  547.6    9.4e-1    0.9954 dead     
  qlib158_imxd10             U2    -0.0012   -0.11   -0.01   983  180.8    9.1e-1    0.9757 dead     
  qlib158_cntd5              U2    -0.0012   -0.14   -0.01   983  180.8    8.9e-1    0.9736 dead     
  alpha101_014               U1    -0.0012   -0.18   -0.01   983  547.6    8.5e-1    0.9881 dead     
  alpha101_006               U1    -0.0013   -0.17   -0.01   983  547.6    8.7e-1    0.9881 dead     
  qlib158_cntp5              U2    -0.0013   -0.15   -0.01   983  180.8    8.8e-1    0.9736 dead     
  alpha101_060               U1    -0.0013   -0.37   -0.01   983  547.6    7.1e-1    0.9821 dead     
  qlib158_ma20               U1    -0.0014   -0.10   -0.01   983  547.6    9.2e-1    0.9954 dead     
  qlib158_rsv5               U2    -0.0014   -0.15   -0.01   983  180.8    8.8e-1    0.9736 dead     
  qlib158_sump10             U2    -0.0015   -0.12   -0.01   983  180.8    9.1e-1    0.9736 dead     
  qlib158_sumd10             U2    -0.0015   -0.12   -0.01   983  180.8    9.1e-1    0.9736 dead     
  alpha101_031               U1    -0.0018   -0.24   -0.02   983  547.6    8.1e-1    0.9881 dead     
  qlib158_vma60              U1    -0.0018   -0.30   -0.02   983  547.6    7.6e-1    0.9868 dead     
  qlib158_rsv60              U2    -0.0018   -0.15   -0.01   983  180.8    8.8e-1    0.9736 dead     
