symbol,ex_date,detector_factor,tier,verdict,registry_action,evidence
JETD,2025-04-08,0.6562,NEAR,no-ca,-3x inverse airline ETN beta during Apr 2025 tariff crash,none,sec.gov 424B3
LAC,2023-10-04,1.5556,NEAR,real-spinoff,"old LAC -> 1 new LAC + 1 LAAC ex 2023-10-04 (arrangement closed 10-03); APPENDED FORWARD_SPLIT factor 1.3814 close-measured inband/estimated (BHVN precedent)",appended,sec.gov exhibit 99.5; lithiumamericas.com PR
LSF,2025-11-11,1.55,NEAR,no-ca,Q3 2025 revenue-miss earnings gap (PR 2025-11-10); never split,none,chartmill 2025-11-11
MI,2025-07-24,0.6774,NEAR,no-ca,microcap pump; only MI split is 1:80 reverse 2026-05-18,none,wealthsimple CA tracker
MWG,2023-11-01,2.2222,NEAR,no-ca,post-IPO microcap bleed-out; only split 1:10 reverse 2026-02-23,none,GlobeNewswire PR; sec.gov 20-F
SYNX,2025-04-01,2.125,NEAR,no-ca,nano-cap decline; market-cap history rules out forward split (no share-count discontinuity),none,sec.gov 424B4; public.com
TOVX,2023-12-26,1.3913,NEAR,no-ca,month-long biotech slide; reverses only 2022-07 and 2024-08-26,none,sec.gov 10-Q
WTIU,2025-04-07,1.6875,NEAR,no-ca,3x energy ETN beta through Apr 2025 tariff shock,none,yahoo WTIU profile
WYY,2025-05-16,1.4,NEAR,no-ca,Q1 2025 earnings-miss day-after (PR 2025-05-15); only split 1:10 reverse 2020-11,none,widepoint.com PR
XTNT,2023-03-13,1.3913,NEAR,no-ca,post-earnings drift during SVB week; no CA near date,none,globenewswire 2023-03-07
YINN,2024-10-08,1.4444,NEAR,no-ca,3x China bull ETF beta on 2024-10-08 stimulus-letdown crash (CSI300 -7%),none,mpcmarkets closing bell 2024-10-08
ZVIA,2026-02-26,1.4,NEAR,no-ca,Q4 2025 revenue-miss earnings gap (PR 2026-02-25); never split,none,investors.zevia.com PR
AIRI,2022-10-25,0.1053,ECHO,confirmed-echo,registry 2022-10-18 REVERSE_SPLIT 0.1 yahoo (Δ7d); detector re-fire after bar gap,none,structural
CANF,2023-01-11,0.0938,ECHO,confirmed-echo,registry 2023-01-09 REVERSE_SPLIT 0.1 yahoo (Δ2d),none,structural
COIA,2026-06-01,0.475,ECHO,confirmed-echo,registry 2026-05-28 REVERSE_SPLIT 0.5 yahoo (Δ4d),none,structural
CPHI,2025-04-16,0.0968,ECHO,confirmed-echo,registry 2025-04-15 REVERSE_SPLIT 0.1 yahoo (Δ1d),none,structural
DIPS,2025-12-10,0.1034,ECHO,confirmed-echo,registry 2025-12-02 REVERSE_SPLIT 0.1 yahoo (Δ8d),none,structural
DUG,2022-01-14,0.2031,ECHO,confirmed-echo,registry 2022-01-13 REVERSE_SPLIT 0.2 yahoo (Δ1d),none,structural
DULL,2026-02-25,0.02,ECHO,confirmed-echo,registry 2026-02-24 REVERSE_SPLIT 0.02 yahoo (Δ1d),none,structural
EWV,2024-11-12,0.24,ECHO,confirmed-echo,registry 2024-11-07 REVERSE_SPLIT 0.25 yahoo (Δ5d),none,structural
FLYD,2024-03-26,0.1034,ECHO,confirmed-echo,registry 2024-03-25 REVERSE_SPLIT 0.1 yahoo (Δ1d),none,structural
FLYD,2026-02-25,0.11,ECHO,confirmed-echo,registry 2026-02-24 REVERSE_SPLIT 0.1 yahoo (Δ1d),none,structural
IVOO,2023-03-15,2.0312,ECHO,confirmed-echo,registry 2023-03-14 FORWARD_SPLIT 2 yahoo (Δ1d),none,structural
MEXX,2023-08-29,5.1667,ECHO,confirmed-echo,registry 2023-08-28 FORWARD_SPLIT 5 yahoo (Δ1d),none,structural
MWG,2026-02-24,0.0952,ECHO,confirmed-echo,registry 2026-02-23 REVERSE_SPLIT 0.1 yahoo (Δ1d),none,structural
OARK,2025-12-05,0.1935,ECHO,confirmed-echo,registry 2025-12-02 REVERSE_SPLIT 0.2 yahoo (Δ3d),none,structural
PXJ,2023-07-18,0.2,ECHO,confirmed-echo,registry 2023-07-17 REVERSE_SPLIT 0.2 yahoo (Δ1d),none,structural
QSU,2026-03-24,0.17,ECHO,confirmed-echo,registry 2026-03-20 REVERSE_SPLIT 0.1667 yahoo (Δ4d),none,structural
RSPH,2023-07-18,10.0,ECHO,confirmed-echo,registry 2023-07-17 FORWARD_SPLIT 10 yahoo (Δ1d),none,structural
SCC,2025-06-17,0.4783,ECHO,confirmed-echo,registry 2025-06-12 REVERSE_SPLIT 0.5 yahoo (Δ5d),none,structural
SLON,2026-05-29,0.2143,ECHO,confirmed-echo,registry 2026-05-28 REVERSE_SPLIT 0.2 yahoo (Δ1d),none,structural
SMDD,2025-06-16,0.4923,ECHO,confirmed-echo,registry 2025-06-12 REVERSE_SPLIT 0.5 yahoo (Δ4d),none,structural
SSG,2024-04-17,0.1935,ECHO,confirmed-echo,registry 2024-04-10 REVERSE_SPLIT 0.2 yahoo (Δ7d),none,structural
UXRP,2026-05-29,0.2,ECHO,confirmed-echo,registry 2026-05-28 REVERSE_SPLIT 0.2 yahoo (Δ1d),none,structural
XYZY,2025-12-02,0.2154,ECHO,confirmed-echo,registry 2025-12-01 REVERSE_SPLIT 0.2 yahoo (Δ1d),none,structural
YXI,2025-11-21,0.475,ECHO,confirmed-echo,registry 2025-11-20 REVERSE_SPLIT 0.5 yahoo (Δ1d),none,structural
